Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images
Pantai Keramas,Beach,Gianyar,2000,4.5,525,https://goo.gl/maps/LzLEA79For1yPxaX8,https://lh5.googleusercontent.com/p/AF1QipO-xnaAPkvKdGFxcPpiOR1rB9WIBsYEeT2oEK38=w408-h305-k-no
Pantai Siyut,Beach,Gianyar,2000,4.2,335,https://goo.gl/maps/QFDS3WyLZK7uTGNQA,https://lh5.googleusercontent.com/p/AF1QipM4NB3Q8lA2NcN--fikBV20ozx9EelzVf54x9rf=w426-h240-k-no
Pantai Cucukan,Beach,Gianyar,2000,4.2,202,https://goo.gl/maps/gQEvTTS5opePQ1HH6,https://lh5.googleusercontent.com/p/AF1QipOA3M3Q_IP2WFxX96YR2arj46uDqgTk6WLXeZLO=w408-h544-k-no
Pantai Tanjung Benoa,Beach,Badung,2000,4.5,149,https://goo.gl/maps/JH3EtPrZJLqSfvZd7,https://lh5.googleusercontent.com/p/AF1QipMCFY2s5MIwgrmvx26DddeQBxgG1_wYxKgF2Eet=w408-h306-k-no
Pantai Nusa Dua,Beach,Badung,2000,4.6,413,https://goo.gl/maps/Sh595VQXQJdpnR2J7,https://lh5.googleusercontent.com/p/AF1QipPuzbIhTcl0wHWrVYqGMYsKS63IC1Ic_5HNYBdq=w408-h544-k-no
Pantai Dreamland,Beach,Badung,5000,4.5,5557,https://goo.gl/maps/JF6PtHFYm48741bc6,https://lh5.googleusercontent.com/p/AF1QipMPAFhaNwiicq1Qfn7b01NqxUoJ6w3hA4vG8bsY=w408-h306-k-no
Pantai Grean Bowl,Beach,Badung,5000,4.6,2132,https://goo.gl/maps/M6SDwG7isZjXABkXA,https://lh5.googleusercontent.com/p/AF1QipNbiGgVTZyeb-fIXOML7s6mtOE-pXX2Kz5crPq6=w408-h305-k-no
Pantai Pandawa,Beach,Badung,10000,4.6,7023,https://goo.gl/maps/JLzBAA9nKaF377d58,https://lh5.googleusercontent.com/p/AF1QipOtJqMvVfPAN39QpdJhUDukfEZQSm6ykgDdZL3U=w408-h544-k-no
Pantai Suluban,Beach,Badung,5000,4.7,830,https://goo.gl/maps/fmuJzeZWHyMPHVRo9,https://lh5.googleusercontent.com/p/AF1QipN4qrzujnuKVnwhZ6EmhAjlGQUGKtYiP3yEMS0t=w408-h496-k-no
Pantai Kuta,Beach,Badung,5000,4.7,36749,https://goo.gl/maps/GHHMcGQsEyKxPtSS7,https://lh5.googleusercontent.com/p/AF1QipMy0QGYXgcBlH8rwMCMef63_kqwuj36nlxTqh57=w426-h240-k-no
Pantai Tegal Wangi,Beach,Badung,5000,4.3,281,https://goo.gl/maps/wbibz9fDpUiEKxQn6,https://lh5.googleusercontent.com/p/AF1QipPSEAG0_1T1AjvbDeX8uqcw5iIl-wZp8uHs4yhH=w408-h510-k-no
Pantai Jimbaran,Beach,Badung,5000,4.6,1852,https://goo.gl/maps/ER5gwnHtS9WYPXdQ8,https://lh5.googleusercontent.com/p/AF1QipPlnm6b2T5OuKRvmHlEBF42oMuBKWikSy2z5hbE=w480-h240-k-no
